longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-121.0681,34.047,34,565,212.6056090049037,462,320,3.1206,<1H OCEAN,72900
-114.4774,32.9023,24,1758,110.0159641457005,1086,410,10.5259,NEAR BAY,56700
-117.2138,37.8088,9,706,201.42995711595742,839,270,3.5057,<1H OCEAN,141000
-123.6755,37.6734,46,506,340.7343649650616,384,180,8.8469,NEAR OCEAN,252700
-123.9484,34.4497,43,2041,198.827700177436,317,309,6.7114,INLAND,120100
-122.6159,39.1056,2,874,,218,282,7.4496,INLAND,102900
-117.0214,39.5405,21,1975,109.17434826427515,1542,44,4.3011,<1H OCEAN,79600
-122.4626,34.9614,34,1085,165.6814076511349,1011,250,3.0086,<1H OCEAN,262600
-119.1851,35.7689,27,1200,1088.4663508392675,478,391,8.2129,<1H OCEAN,233000
-123.3674,41.9095,37,1626,222.78853164527493,1080,148,13.1429,INLAND,191600
-115.0911,36.0555,7,703,,274,449,2.4561,INLAND,144500
-120.8604,39.7276,22,621,139.5665698434883,330,313,5.9615,NEAR BAY,86400
-115.2187,36.8009,4,2543,253.71367549154152,304,185,5.948,<1H OCEAN,55000
-114.8512,40.0368,14,1644,202.46237204434857,829,357,4.9505,INLAND,74000
-124.2387,39.8057,34,1046,528.5831263992702,410,189,10.5769,INLAND,55900
-119.6586,38.8437,23,1914,511.3005237088059,207,297,2.8142,<1H OCEAN,123200
-124.0534,40.6204,44,1600,550.5422350097056,715,203,8.6626,<1H OCEAN,171000
-115.2131,41.4226,42,2122,258.8390748477054,1051,359,3.7946,NEAR OCEAN,156000
-119.1159,38.0098,25,492,1020.342875577268,596,628,1.1031,<1H OCEAN,362800
-123.5506,34.756,1,1048,429.5120430368125,1655,180,1.8692,NEAR OCEAN,178700
-123.1972,36.287,51,2418,89.95638569510596,1264,460,4.5787,<1H OCEAN,84300
-120.4649,39.7039,48,3547,720.348707785191,1627,198,9.3189,<1H OCEAN,130100
-114.8977,38.6834,15,753,243.70862970761038,1245,199,8.5745,INLAND,136300
-117.3709,34.1891,32,1225,542.8999128652507,803,185,4.7742,<1H OCEAN,190600
-115.6238,32.9868,14,1111,117.10070847120319,245,75,2.2543,NEAR BAY,200200
-120.6354,38.9881,41,459,232.79276952278553,504,347,2.1715,NEAR OCEAN,242600
-123.8679,34.8853,21,896,413.6287474868861,441,298,5.768,INLAND,124800
-114.5568,37.2469,47,363,290.2605282601705,326,274,4.3694,NEAR BAY,322100
-124.1283,39.5941,7,975,220.39310363087506,419,726,8.0251,<1H OCEAN,213500
-114.8235,37.8453,36,530,43.7788492770888,206,784,3.6721,<1H OCEAN,51200
-120.6132,33.2914,21,1235,145.78097065723063,1349,611,2.8203,NEAR OCEAN,256700
-124.1991,34.263,50,882,123.46498478059476,285,207,3.7927,<1H OCEAN,101700
-117.4084,34.5836,40,872,66.48830541428244,1274,200,4.4466,<1H OCEAN,77900
-114.4946,34.9497,12,3253,148.9195276810517,1922,119,1.3236,<1H OCEAN,214500
-114.6437,37.8713,15,1152,898.8360363627841,360,255,5.9522,<1H OCEAN,426300
-122.6906,37.2877,15,4083,550.2281865020325,426,246,4.8823,INLAND,134400
-122.4875,34.43,17,1498,136.37014416978607,991,356,7.9107,<1H OCEAN,114200
-118.6446,33.1418,34,1940,162.09381548203982,469,115,7.1564,INLAND,176400
-117.927,34.1286,44,596,162.32638361509152,350,188,8.5847,<1H OCEAN,477100
-116.9058,41.8516,35,674,415.3977165875022,946,74,12.2855,INLAND,162000
-122.4895,36.9512,39,1109,324.8939233718537,367,148,4.8731,NEAR BAY,262500
-114.7099,40.7398,38,2563,148.63847646738571,3678,457,1.1925,INLAND,151400
-117.9126,40.5631,14,850,161.15214374630713,1042,113,7.5138,INLAND,124400
-115.8295,37.3594,5,402,521.5998666007515,1136,829,9.2026,<1H OCEAN,368800
-118.8993,39.2135,30,1448,711.2821586403859,619,495,3.9101,<1H OCEAN,89000
-120.1572,34.3311,4,1146,130.63023672844753,2952,347,1.3365,<1H OCEAN,278500
-114.5282,39.0398,15,745,225.44647777105808,367,622,8.3638,INLAND,146400
-118.4788,35.0877,39,844,267.7060761495003,1222,224,4.43,<1H OCEAN,115700
-115.6313,40.4046,35,596,214.3677474812626,228,146,2.0122,<1H OCEAN,124300
-114.7671,33.2954,45,2093,539.7922516209447,4166,228,3.8172,INLAND,62000
-117.5465,39.8448,10,1114,219.94980577407972,1281,73,4.4685,INLAND,90000
-118.8106,33.4494,2,1297,930.4738481956555,313,563,3.8165,INLAND,197400
-124.2649,40.8713,44,722,567.1842867210116,1012,191,3.3092,INLAND,138300
-123.8998,35.3899,24,2794,151.3414872693331,1556,144,7.9341,<1H OCEAN,112300
-122.2915,38.7167,28,1279,256.4112777530466,325,156,10.0814,<1H OCEAN,397700
-122.4399,37.1313,22,244,123.52002739423548,460,247,14.2843,INLAND,97700
-121.7524,35.9799,44,1513,186.03794705898707,300,266,2.4541,<1H OCEAN,337400
-121.2507,38.6317,32,911,450.10430853346315,975,220,9.7813,<1H OCEAN,163300
-120.6993,41.5015,31,977,290.62075436585286,769,220,5.0256,NEAR OCEAN,117300
-120.0946,32.8921,19,2198,1073.593619852542,682,359,5.6152,INLAND,181000
-123.3113,41.2291,51,1166,104.02562791135948,349,113,9.2873,<1H OCEAN,159800
-123.8764,38.2863,21,3636,239.11008382053544,563,286,4.3495,<1H OCEAN,95000
-117.5606,40.1695,3,1180,171.7366380838112,375,195,4.0168,INLAND,96200
-118.9267,36.1468,6,791,,980,60,2.9561,<1H OCEAN,126700
-119.8586,36.9825,32,308,251.97588394500923,286,114,2.2256,<1H OCEAN,216000
-117.9556,40.7541,2,663,152.34448627609652,351,140,3.0665,INLAND,197300
-116.0232,36.4411,24,875,478.44210547890196,1276,787,4.9662,<1H OCEAN,337200
-120.0231,37.5793,45,3060,833.7958087562245,467,335,4.3485,<1H OCEAN,79200
-117.8888,32.6919,27,794,47.71025490699713,2720,295,3.5667,INLAND,178000
-114.7643,34.0067,9,3461,648.7402871575246,778,174,3.6333,NEAR OCEAN,151600
-115.9038,38.596,13,490,1424.7537812667254,155,170,8.4217,NEAR OCEAN,107400
-120.04,39.3113,14,638,279.44442548324037,230,106,4.9798,NEAR OCEAN,431600
-117.8528,38.0347,51,2413,159.5827389020497,414,194,2.4694,<1H OCEAN,168100
-122.5293,33.8614,11,723,163.93578631564893,1204,640,4.6401,NEAR OCEAN,322800
-118.6948,36.7314,14,2367,197.26440934890184,1110,97,6.4861,NEAR OCEAN,28300
-114.4867,35.8734,16,614,330.72457222514805,451,162,7.9555,INLAND,257000
-119.1168,37.2088,10,659,181.41811690542738,1782,467,6.287,<1H OCEAN,226500
-115.0236,40.7681,20,1718,231.38864877133872,865,467,7.4568,INLAND,256000
-120.2267,39.8707,16,621,125.31978865098222,515,147,6.0717,NEAR BAY,132500
-114.3116,33.2979,34,904,177.7262630752266,1700,552,1.3443,NEAR BAY,423100
-118.5078,40.9579,16,1445,183.35947324772408,348,180,4.0708,<1H OCEAN,147200
-123.8773,36.9818,14,918,238.6548644562039,1037,109,4.2454,NEAR BAY,179800
-118.4325,39.5667,28,739,88.35240611353862,1125,698,15.0,INLAND,105600
-121.5543,33.8304,18,471,194.24124905803183,1090,260,7.0683,<1H OCEAN,130100
-123.9752,38.8718,26,3024,210.57991517221103,587,217,3.7638,NEAR BAY,148000
-116.0915,34.7451,38,3447,278.4792717833281,1335,276,2.819,NEAR OCEAN,332800
-121.5427,36.6646,7,1380,651.3050448954589,2902,124,3.6458,INLAND,210400
-116.3345,32.6602,45,932,227.93404571888922,587,165,2.7593,NEAR BAY,285700
-121.4178,33.9403,34,968,104.36763039434918,702,669,15.0,INLAND,141100
-122.3567,33.3748,47,1963,268.3926963090909,1394,899,4.4408,INLAND,137200
-114.5606,34.7776,49,2258,148.9854197556428,537,112,7.3515,NEAR BAY,218900
-120.6835,33.4502,45,751,146.30996397767782,526,186,6.1056,NEAR BAY,158300
-118.2862,39.0731,7,2326,198.9106199210954,262,245,6.6486,<1H OCEAN,54200
-118.2002,32.7759,33,1686,170.09896580941654,167,281,2.6422,<1H OCEAN,111000
-118.6953,38.3685,35,2298,116.10208155785973,268,125,9.9978,<1H OCEAN,63800
-115.153,33.8367,52,357,174.22708778865135,1326,385,4.2504,NEAR OCEAN,99900
-117.5556,41.479,50,817,336.6315689939913,292,406,11.0258,NEAR OCEAN,280000
-120.2627,41.3644,39,971,251.73446828880822,981,443,5.7858,NEAR BAY,127700
-115.6762,34.6423,21,789,,2182,414,12.8377,INLAND,141000
-122.4894,38.337,49,4197,133.98097851095554,755,259,6.425,INLAND,171600
-118.8576,32.7661,28,823,266.7410567378468,328,489,4.0094,NEAR OCEAN,135400
-114.7945,41.352,32,1522,122.60610662463644,598,358,10.4163,<1H OCEAN,157300
-118.046,37.4684,44,1220,130.6137297712979,901,86,4.8695,INLAND,413000
-116.1303,32.9106,16,895,164.06894180314148,905,87,6.1895,INLAND,74000
-117.7644,35.7537,10,667,123.92790094283208,730,303,4.7282,INLAND,150100
-115.9063,33.2301,23,4624,262.56875035733384,1102,601,3.2396,INLAND,237400
-114.8551,36.233,48,938,197.28043466826296,1479,334,4.0729,NEAR OCEAN,88600
-121.5708,38.8643,52,2024,653.9097358888325,453,369,6.8688,<1H OCEAN,266600
-122.6034,36.964,50,1089,108.4970508474817,2046,116,8.0309,<1H OCEAN,130500
-119.4601,36.1454,15,795,547.5986944992648,865,256,1.334,NEAR OCEAN,206300
-117.2814,33.632,43,1182,288.91613101325845,112,544,5.4314,<1H OCEAN,101300
-122.0281,34.8269,50,1360,694.879463389798,572,334,4.277,<1H OCEAN,147500
-124.259,33.4514,6,789,631.9129337231653,578,263,1.9698,<1H OCEAN,500000
-120.8706,40.1712,33,642,181.4623332065951,1578,370,7.497,<1H OCEAN,112500
-114.6114,33.7848,39,1530,91.26732757070208,417,286,13.2498,NEAR OCEAN,111000
-117.3503,38.156,12,1189,220.68045739742558,749,556,10.9026,INLAND,376800
-120.2867,35.756,52,694,61.33488984416349,213,286,1.1052,INLAND,327500
-122.3742,34.6468,36,568,388.2935205763412,342,239,5.4451,INLAND,407800
-120.7391,38.575,31,1400,272.0801073862547,1258,117,3.035,<1H OCEAN,131200
-122.6016,36.8415,10,286,160.89358544767728,250,572,3.4249,<1H OCEAN,174100
-123.2369,36.3014,34,913,178.62819266264611,1440,126,3.8524,NEAR OCEAN,183500
-115.2326,38.1321,41,1205,119.64354618949952,1655,288,1.1811,<1H OCEAN,129200
-114.3235,37.167,10,3701,239.27214924579712,1795,428,1.3035,<1H OCEAN,83200
-122.6589,35.3831,52,1104,122.19703755655092,2289,856,4.7167,INLAND,103700
-123.7548,37.8111,11,888,238.41719601489888,1236,286,5.1998,<1H OCEAN,112000
-121.0027,38.8602,14,1338,313.3029278757654,934,648,3.986,<1H OCEAN,81900
-119.6834,32.7536,3,664,385.68411850083334,1091,249,2.1186,<1H OCEAN,93400
-122.2518,36.9258,33,940,334.22986518855856,704,165,3.5168,NEAR BAY,114300
-121.2858,33.048,7,1119,198.591871106778,493,1696,10.6682,INLAND,177000
-122.2913,34.2709,4,1703,333.91089523609446,1231,104,3.6051,<1H OCEAN,187000
-116.5574,37.8248,39,684,268.96492235653193,952,1891,3.3146,INLAND,139100
-117.1742,40.7288,48,1092,267.4073281331307,1345,764,9.4133,NEAR OCEAN,153200
-117.9505,40.8867,10,313,119.2804569098254,562,163,3.9375,INLAND,249100
-120.4278,33.1645,15,1574,102.12477056832861,603,385,6.7413,<1H OCEAN,158900
-115.2096,36.4815,16,933,293.1161937037303,787,91,5.9092,<1H OCEAN,140700
-114.6047,38.0386,38,4101,343.9297067466631,601,370,2.6239,<1H OCEAN,92800
-122.5636,33.8972,4,1402,158.42113509636272,6460,306,2.4734,INLAND,322900
-122.0699,39.7716,4,597,556.6663531756166,3126,448,1.9962,INLAND,74100
-119.0437,39.5702,36,510,1152.1523985791712,667,184,2.4453,<1H OCEAN,111900
-123.3875,41.0817,27,1742,835.024223967606,599,273,7.361,INLAND,113800
-119.9355,32.5806,22,3856,203.02848592257885,950,341,2.7372,INLAND,155900
-118.4821,34.5585,22,3112,180.71072772155858,471,173,4.1258,NEAR BAY,147200
-119.0793,40.3583,17,469,424.444712670638,465,654,3.7849,INLAND,173400
-120.9909,38.8705,45,1264,393.5487819625902,688,268,5.628,INLAND,127700
-118.8755,40.9967,34,2413,112.25664447720884,494,311,1.9762,NEAR OCEAN,114700
-114.712,33.0432,32,428,206.53171301740264,770,136,8.661,<1H OCEAN,90400
-122.2398,38.1712,52,2266,388.8083170651766,894,77,10.6092,<1H OCEAN,100200
-117.7517,37.9059,6,670,130.66128473374533,52,95,4.4146,NEAR OCEAN,151400
-123.866,32.8389,33,943,145.291943813201,142,371,1.1691,INLAND,160200
-123.6358,37.3785,8,1330,161.48635847091325,337,140,2.6766,<1H OCEAN,124600
-118.7817,38.2904,50,2316,185.03053986600685,831,407,5.4173,NEAR OCEAN,327500
-123.2506,34.3173,36,3204,81.57454282349771,359,779,5.6029,INLAND,77000
-124.0765,35.0966,5,874,397.4403970144882,4222,419,3.8395,NEAR OCEAN,132000
-122.5849,38.5833,5,783,146.36527854736067,1360,329,8.6743,NEAR OCEAN,62400
-118.6515,36.9489,47,748,281.93144943979496,3186,387,3.1717,<1H OCEAN,124000
-117.2666,40.6511,10,1892,261.5333207078523,1366,529,8.0887,INLAND,119600
-122.2752,35.7526,40,2201,120.51765544369144,187,304,4.4844,NEAR BAY,113700
-117.6174,35.0333,7,2051,71.07008488925663,261,389,3.191,INLAND,92700
-122.4752,41.8562,12,1324,260.44523634463826,441,164,6.9514,INLAND,241800
-118.1654,41.1558,30,1419,180.36365436756586,255,123,4.3651,INLAND,185800
-120.1804,32.7754,25,933,336.58264938584335,1579,171,7.633,<1H OCEAN,101800
-117.762,39.8219,28,996,432.05587396452296,585,194,15.0,<1H OCEAN,165200
-114.3495,33.5482,43,1993,58.72591625525879,783,189,2.559,<1H OCEAN,85600
-114.9218,32.7611,13,1319,208.14910861573364,2000,546,7.6025,INLAND,68200
-124.2572,35.1001,47,787,507.3621754638574,3106,36,6.5717,INLAND,230300
-115.4456,35.0588,49,2367,669.2055802239272,535,210,13.0343,NEAR BAY,87300
-123.6351,40.2835,22,716,67.85512741679315,223,411,7.7562,<1H OCEAN,115300
-114.7695,39.2513,18,1214,548.0570360684476,257,401,11.5163,<1H OCEAN,163900
-121.4817,41.8253,27,460,120.7046186104846,1668,137,2.4837,INLAND,158000
-120.4797,39.2594,8,565,401.07831019519614,822,826,2.0848,NEAR BAY,392300
-123.3836,36.4734,6,1111,166.62801223839878,326,92,2.5488,INLAND,89400
-123.1773,39.1398,11,673,412.68404334394705,1171,191,4.0792,NEAR OCEAN,339100
-117.0326,41.9949,29,934,189.95089614396034,281,196,10.2729,INLAND,196800
-114.8567,39.2463,41,2563,89.39453404663996,161,195,11.7452,INLAND,281400
-118.1925,39.736,5,1004,162.87727342110307,133,633,3.6006,<1H OCEAN,107800
-117.1415,41.4145,7,2058,357.1404530851324,209,247,4.1898,<1H OCEAN,118500
-116.6803,33.5797,22,634,182.05646326305782,1678,306,2.2185,<1H OCEAN,197900
-121.6719,39.1955,47,1610,115.44015621692103,565,452,4.6817,<1H OCEAN,83400
-123.8477,40.5827,4,544,100.48728469688449,647,156,3.9792,<1H OCEAN,103400
-124.2813,41.5666,32,920,138.85702271097935,772,219,3.9861,INLAND,195500
-120.7935,34.5042,19,1656,138.01862639851856,296,790,9.1015,<1H OCEAN,264800
-121.8854,37.2873,45,1106,365.747398374519,453,318,5.7138,<1H OCEAN,61100
-123.6768,38.9653,33,2120,185.54347597304897,489,113,2.0453,INLAND,354100
-122.5047,34.8509,1,1749,198.52568154963475,315,134,0.9703,<1H OCEAN,86300
-123.055,38.2045,46,883,215.7500874342051,450,456,6.2413,<1H OCEAN,126400
-115.1512,34.947,41,2718,357.1201183377974,603,110,5.1522,NEAR BAY,116600
-122.8973,35.6678,44,1488,382.2281175719333,545,175,5.6215,<1H OCEAN,134900
-118.9235,36.6944,50,924,169.21508984436355,940,282,5.1526,<1H OCEAN,118100
-118.3689,37.5273,41,1214,,451,247,2.2553,<1H OCEAN,194300
-118.8651,36.769,8,1168,383.6527800849364,2289,691,3.9994,NEAR OCEAN,340800
-123.3094,37.1854,32,1262,150.34346796318528,291,44,3.7308,INLAND,136700
-121.112,35.3366,30,993,166.79780710392643,435,342,4.2684,<1H OCEAN,102000
-123.7873,34.0102,46,1423,383.09391215996146,911,200,7.5914,INLAND,101800
-120.3433,32.9498,28,1906,163.73098959177406,1090,615,3.1695,<1H OCEAN,226000
-122.414,34.3618,41,1477,290.99267182603273,253,207,2.2398,INLAND,246900
-118.6837,38.0285,52,1442,80.98409946923111,612,211,10.0138,INLAND,141000
-117.3719,39.9681,32,1022,368.2005410871673,1260,243,2.8917,<1H OCEAN,239400
-118.9788,34.1079,25,589,212.59776784419606,184,154,8.9483,INLAND,486400
-119.9576,33.5313,34,497,325.30792807646696,620,161,15.0,INLAND,266400
-120.4267,39.6183,33,668,535.6993931909035,202,220,11.0702,NEAR BAY,115900
-115.8831,35.399,13,818,193.71930987654378,347,773,6.6772,ISLAND,276500
-122.1063,41.5392,25,3534,83.634655012939,712,173,3.9792,INLAND,294500
-116.9578,39.286,42,2633,189.93505742005922,558,151,7.7512,NEAR OCEAN,201300
-116.7252,35.6042,40,723,572.6054997023422,267,184,4.4205,INLAND,304500
-120.108,35.2507,39,1502,275.5837095404666,1767,245,10.4778,NEAR OCEAN,213000
-121.327,37.4751,44,1045,116.15082514951986,509,858,6.574,<1H OCEAN,284000
-119.5946,33.2519,49,1293,213.65733096275403,1032,143,5.6237,INLAND,197800
-123.3679,33.6179,44,746,344.282935093656,2211,1407,4.6161,NEAR OCEAN,208900
-123.8407,34.1706,48,5267,224.1149114438137,387,335,3.3318,NEAR BAY,84000
-123.184,39.8599,10,4044,219.8903087797898,1088,121,4.4756,<1H OCEAN,163300
-122.4285,37.3816,31,893,148.4761684844132,927,166,5.3425,<1H OCEAN,128500
-119.2582,32.6004,44,722,157.0578923705979,218,63,3.8414,NEAR BAY,306500
-115.8086,38.8984,11,2096,285.922682617539,1747,263,5.3592,INLAND,94800
-121.9436,36.5251,25,470,345.40946647900086,721,510,8.096,ISLAND,64500
-114.9484,37.3531,46,1982,216.73666829300967,434,250,5.2938,NEAR OCEAN,76400
-114.7509,34.5341,52,1197,173.16308179042608,182,429,3.2523,NEAR OCEAN,164700
-114.711,37.7419,45,401,415.48778922396815,239,330,0.8578,<1H OCEAN,48600
-115.9244,41.802,34,986,181.89297559936972,609,570,9.2837,<1H OCEAN,62700
-120.6617,33.1977,20,692,299.6214102606183,228,123,4.194,INLAND,215000
-123.5732,35.1972,7,1228,355.3534067524163,1103,453,5.0545,NEAR OCEAN,71500
-118.6118,34.8085,33,1141,101.0014957501921,491,916,6.2152,INLAND,262400
-118.7132,34.8612,35,427,269.83603763255616,190,1473,6.2161,INLAND,82100
-115.8002,36.0977,29,867,37.031346913589346,391,661,7.0616,INLAND,62800
